grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Pedigree,9.444119245842e-08,0.000307312857619755,18.01,0.000517457865170586,0.355,0.346315074419973,TXH1.2020.19,CIVE_median,19,2020,TXH1.2020
Pass,3.2395247701513e-08,0.000179986798686773,6.18,0.000517457865170586,0.355,0.346315074419973,TXH1.2020.19,CIVE_median,19,2020,TXH1.2020
Range,3.62540681042711e-08,0.00019040501071209,6.91,0.000517457865170586,0.355,0.346315074419973,TXH1.2020.19,CIVE_median,19,2020,TXH1.2020
Replicate,1.85142299357334e-08,0.000136067005316254,3.53,0.000517457865170586,0.355,0.346315074419973,TXH1.2020.19,CIVE_median,19,2020,TXH1.2020
Residual,3.42786925963393e-07,0.000585480081611145,65.37,0.000517457865170586,0.355,0.346315074419973,TXH1.2020.19,CIVE_median,19,2020,TXH1.2020
Pedigree,0.000541826273161734,0.023277162051284,34.02,0.0226459353715818,0.586,0.518791538751622,TXH1.2020.19,COM1_mean,19,2020,TXH1.2020
Pass,0.000187480880441594,0.0136923657722686,11.77,0.0226459353715818,0.586,0.518791538751622,TXH1.2020.19,COM1_mean,19,2020,TXH1.2020
Range,9.26534230589094e-05,0.00962566481126937,5.82,0.0226459353715818,0.586,0.518791538751622,TXH1.2020.19,COM1_mean,19,2020,TXH1.2020
Replicate,4.38735963707524e-06,0.0020946025009713,0.28,0.0226459353715818,0.586,0.518791538751622,TXH1.2020.19,COM1_mean,19,2020,TXH1.2020
Residual,0.000766484395330015,0.0276854545805196,48.12,0.0226459353715818,0.586,0.518791538751622,TXH1.2020.19,COM1_mean,19,2020,TXH1.2020
Pedigree,0.000866049298854765,0.0294287155488439,38.58,0.0235989144580806,0.662,0.606177968991806,TXH1.2020.19,COM1_median,19,2020,TXH1.2020
Pass,0.00035084358479756,0.0187308191171011,15.63,0.0235989144580806,0.662,0.606177968991806,TXH1.2020.19,COM1_median,19,2020,TXH1.2020
Range,0.000137811036785155,0.0117392945607969,6.14,0.0235989144580806,0.662,0.606177968991806,TXH1.2020.19,COM1_median,19,2020,TXH1.2020
Replicate,6.01082971721604e-06,0.00245169935294196,0.27,0.0235989144580806,0.662,0.606177968991806,TXH1.2020.19,COM1_median,19,2020,TXH1.2020
Residual,0.000884029895411742,0.0297326402361402,39.38,0.0235989144580806,0.662,0.606177968991806,TXH1.2020.19,COM1_median,19,2020,TXH1.2020
